year,height,tas
2015,2.0,286.97476
2016,2.0,286.96756
2017,2.0,287.22702
2018,2.0,287.088
2019,2.0,287.70755
2020,2.0,287.63834
2021,2.0,287.69147
2022,2.0,288.018
2023,2.0,287.11493
2024,2.0,286.82797
2025,2.0,287.0799
2026,2.0,288.10495
2027,2.0,287.3513
2028,2.0,288.08075
2029,2.0,287.574
2030,2.0,287.269
2031,2.0,287.5028
2032,2.0,288.41327
2033,2.0,287.2845
2034,2.0,288.29016
2035,2.0,287.8484
2036,2.0,287.2039
2037,2.0,287.55997
2038,2.0,287.82693
2039,2.0,287.6027
2040,2.0,286.96426
2041,2.0,287.54092
2042,2.0,287.4413
2043,2.0,287.59982
2044,2.0,287.79657
2045,2.0,287.52036
2046,2.0,287.45697
2047,2.0,288.24573
2048,2.0,288.2747
2049,2.0,287.5674
2050,2.0,287.71176
