Indicator Code: CG1150
"Indicator Name: Digestive diseases"
Export date: 5/7/2024 5:13:47 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: K20-K92"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,AUT,Austria,1990,All,Age_all,[All],4071.00000000,4.90765744,34.67634071,53.02265608,
EU,Europe,AUT,Austria,1991,All,Age_all,[All],4132.00000000,4.95277365,35.55156860,53.28250262,
EU,Europe,AUT,Austria,1992,All,Age_all,[All],4212.00000000,5.06481326,35.65712945,53.71963173,
EU,Europe,AUT,Austria,1993,All,Age_all,[All],4069.00000000,4.93110511,33.89018326,51.46963582,
EU,Europe,AUT,Austria,1994,All,Age_all,[All],3971.00000000,4.92166972,32.91327496,50.03705842,
EU,Europe,AUT,Austria,1995,All,Age_all,[All],3832.00000000,4.72089786,31.32984501,48.21170070,
EU,Europe,AUT,Austria,1996,All,Age_all,[All],3727.00000000,4.61319470,30.15409594,46.82739675,
EU,Europe,AUT,Austria,1997,All,Age_all,[All],3494.00000000,4.39873099,27.81453413,43.85017597,
EU,Europe,AUT,Austria,1998,All,Age_all,[All],3478.00000000,4.43967883,27.20886916,43.60150432,
EU,Europe,AUT,Austria,1999,All,Age_all,[All],3251.00000000,4.15728900,25.26667597,40.67653422,
EU,Europe,AUT,Austria,2000,All,Age_all,[All],3464.00000000,4.51159156,25.98458705,43.23748940,
EU,Europe,AUT,Austria,2001,All,Age_all,[All],3349.00000000,4.47924887,24.99741245,41.64235250,
EU,Europe,AUT,Austria,2002,All,Age_all,[All],3586.00000000,4.71030198,25.92859086,44.36954111,
EU,Europe,AUT,Austria,2003,All,Age_all,[All],3598.00000000,4.66007849,26.08251098,44.31992383,
EU,Europe,AUT,Austria,2004,All,Age_all,[All],3336.00000000,4.49038927,23.65475701,40.83510732,
EU,Europe,AUT,Austria,2005,All,Age_all,[All],3350.00000000,4.45543896,23.10543065,40.72810670,
EU,Europe,AUT,Austria,2006,All,Age_all,[All],3096.00000000,4.16717141,20.66823683,37.44580880,
EU,Europe,AUT,Austria,2007,All,Age_all,[All],3292.00000000,4.41139028,21.47721241,39.68565394,
EU,Europe,AUT,Austria,2008,All,Age_all,[All],3042.00000000,4.05151632,19.31108486,36.55572928,
EU,Europe,AUT,Austria,2009,All,Age_all,[All],3165.00000000,4.09015133,20.17978081,37.94289337,
EU,Europe,AUT,Austria,2010,All,Age_all,[All],3109.00000000,4.02725424,19.41804103,37.18424044,
EU,Europe,AUT,Austria,2011,All,Age_all,[All],2981.00000000,3.89780201,17.89962704,35.53660270,
EU,Europe,AUT,Austria,2012,All,Age_all,[All],2999.00000000,3.77536633,17.91087399,35.59090093,
EU,Europe,AUT,Austria,2013,All,Age_all,[All],2991.00000000,3.76103413,17.52944408,35.28275156,
EU,Europe,AUT,Austria,2014,All,Age_all,[All],2739.00000000,3.50023003,15.97860686,32.05783941,
EU,Europe,BEL,Belgium,1990,All,Age_all,[All],3862.00000000,3.70882551,22.93021584,38.74631298,
EU,Europe,BEL,Belgium,1991,All,Age_all,[All],3945.00000000,3.78784242,23.02797357,39.43225549,
