Indicator Code: CG1610
"Indicator Name: Ill-defined diseases"
Export date: 5/7/2024 4:55:25 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: R00-R94, R96-R99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,AUT,Austria,1990,All,Age_all,[All],565.00000000,0.68111679,3.60826517,7.35883092,
EU,Europe,AUT,Austria,1991,All,Age_all,[All],493.00000000,0.59092870,3.10810175,6.35727826,
EU,Europe,AUT,Austria,1992,All,Age_all,[All],634.00000000,0.76236743,3.88922400,8.08600345,
EU,Europe,AUT,Austria,1993,All,Age_all,[All],628.00000000,0.76105530,3.79299138,7.94370393,
EU,Europe,AUT,Austria,1994,All,Age_all,[All],619.00000000,0.76719052,3.57238674,7.79978322,
EU,Europe,AUT,Austria,1995,All,Age_all,[All],545.00000000,0.67142206,3.02272538,6.85683113,
EU,Europe,AUT,Austria,1996,All,Age_all,[All],592.00000000,0.73276396,3.19625541,7.43810541,
EU,Europe,AUT,Austria,1997,All,Age_all,[All],720.00000000,0.90643569,3.80702913,9.03609808,
EU,Europe,AUT,Austria,1998,All,Age_all,[All],742.00000000,0.94716552,3.79847466,9.30198856,
EU,Europe,AUT,Austria,1999,All,Age_all,[All],722.00000000,0.92327366,3.75519507,9.03366893,
EU,Europe,AUT,Austria,2000,All,Age_all,[All],840.00000000,1.09403490,4.21706809,10.48484154,
EU,Europe,AUT,Austria,2001,All,Age_all,[All],931.00000000,1.24520176,4.68090059,11.57630044,
EU,Europe,AUT,Austria,2002,All,Age_all,[All],825.00000000,1.08365843,4.16863355,10.20771651,
EU,Europe,AUT,Austria,2003,All,Age_all,[All],636.00000000,0.82373817,3.31610261,7.83420555,
EU,Europe,AUT,Austria,2004,All,Age_all,[All],608.00000000,0.81839229,3.18398745,7.44236968,
EU,Europe,AUT,Austria,2005,All,Age_all,[All],649.00000000,0.86315817,3.21540801,7.89031082,
EU,Europe,AUT,Austria,2006,All,Age_all,[All],804.00000000,1.08217242,3.77327980,9.72429919,
EU,Europe,AUT,Austria,2007,All,Age_all,[All],747.00000000,1.00100503,3.50971715,9.00521977,
EU,Europe,AUT,Austria,2008,All,Age_all,[All],684.00000000,0.91099184,3.00839405,8.21963144,
EU,Europe,AUT,Austria,2009,All,Age_all,[All],1857.00000000,2.39981391,10.63253441,22.26222843,
EU,Europe,AUT,Austria,2010,All,Age_all,[All],1905.00000000,2.46764854,10.66877513,22.78416791,
EU,Europe,AUT,Austria,2011,All,Age_all,[All],1997.00000000,2.61117431,10.82118034,23.80630513,
EU,Europe,AUT,Austria,2012,All,Age_all,[All],2058.00000000,2.59076489,11.19954345,24.42349920,
EU,Europe,AUT,Austria,2013,All,Age_all,[All],1975.00000000,2.48346453,10.71013373,23.29770456,
EU,Europe,AUT,Austria,2014,All,Age_all,[All],2009.00000000,2.56734652,10.99701043,23.51376392,
EU,Europe,BEL,Belgium,1990,All,Age_all,[All],6803.00000000,6.53317968,36.91858307,68.25250316,
EU,Europe,BEL,Belgium,1991,All,Age_all,[All],7225.00000000,6.93717655,38.96397408,72.21750212,
EU,Europe,BEL,Belgium,1992,All,Age_all,[All],7064.00000000,6.77927063,37.54361580,70.32214391,
EU,Europe,BEL,Belgium,1993,All,Age_all,[All],3989.00000000,3.73417959,20.77936004,39.55849977,
EU,Europe,BEL,Belgium,1994,All,Age_all,[All],3885.00000000,3.74356800,19.73220517,38.40602634,
EU,Europe,BEL,Belgium,1995,All,Age_all,[All],3499.00000000,3.33565307,17.30553077,34.51779654,
EU,Europe,BEL,Belgium,1996,All,Age_all,[All],3340.00000000,3.20015330,17.25091211,32.88490078,
EU,Europe,BEL,Belgium,1997,All,Age_all,[All],2946.00000000,2.83815029,13.88096694,28.96690791,
EU,Europe,BEL,Belgium,1998,All,Age_all,[All],3399.00000000,3.25493651,16.52324977,33.31370514,
EU,Europe,BEL,Belgium,1999,All,Age_all,[All],3998.00000000,3.82177782,18.99690291,39.09481902,
EU,Europe,BEL,Belgium,2000,All,Age_all,[All],2695.00000000,2.57095159,12.64041172,26.28947689,
EU,Europe,BEL,Belgium,2001,All,Age_all,[All],2653.00000000,2.57592823,12.24592134,25.79090990,
EU,Europe,BEL,Belgium,2002,All,Age_all,[All],2712.00000000,2.57579211,12.37422041,26.24655405,
EU,Europe,BEL,Belgium,2003,All,Age_all,[All],2680.00000000,2.52332665,12.16424756,25.82850595,
EU,Europe,BEL,Belgium,2004,All,Age_all,[All],2484.00000000,2.45318796,11.45287102,23.83617180,
EU,Europe,BEL,Belgium,2005,All,Age_all,[All],2497.00000000,2.42582626,11.26180886,23.82948055,
EU,Europe,BEL,Belgium,2006,All,Age_all,[All],2585.00000000,2.58236599,11.13931905,24.50711081,
EU,Europe,BEL,Belgium,2007,All,Age_all,[All],2599.00000000,2.56352087,10.88814647,24.45956272,
EU,Europe,BEL,Belgium,2008,All,Age_all,[All],2623.00000000,2.52794911,10.42157087,24.49119153,
EU,Europe,BEL,Belgium,2009,All,Age_all,[All],2925.00000000,2.81748478,11.47727132,27.09213075,
EU,Europe,BEL,Belgium,2010,All,Age_all,[All],4978.00000000,4.73409921,21.05676630,45.92291169,
EU,Europe,BEL,Belgium,2011,All,Age_all,[All],5277.00000000,5.05983201,21.42580868,47.96994502,
EU,Europe,BEL,Belgium,2012,All,Age_all,[All],5980.00000000,5.48241593,23.48125329,53.89888101,
EU,Europe,BEL,Belgium,2013,All,Age_all,[All],5974.00000000,5.46399107,22.17141950,53.44218100,
EU,Europe,BEL,Belgium,2014,All,Age_all,[All],5950.00000000,5.67991981,21.86674597,52.99590293,
EU,Europe,BIH,Bosnia and Herzegovina,1990,All,Age_all,[All],2276.00000000,7.82318771,64.18085841,50.82512673,
EU,Europe,BIH,Bosnia and Herzegovina,1991,All,Age_all,[All],2825.00000000,9.20795306,77.94562219,62.52213173,
EU,Europe,BIH,Bosnia and Herzegovina,2011,All,Age_all,[All],2479.00000000,7.07719539,45.12230259,64.56171347,
EU,Europe,BIH,Bosnia and Herzegovina,2014,All,Age_all,[All],2943.00000000,8.17954419,49.08108262,76.89407508,
EU,Europe,BGR,Bulgaria,1990,All,Age_all,[All],5385.00000000,4.95819829,47.31267713,59.89455888,
EU,Europe,BGR,Bulgaria,1991,All,Age_all,[All],5987.00000000,5.42187769,50.48266690,66.65553329,
EU,Europe,BGR,Bulgaria,1992,All,Age_all,[All],6130.00000000,5.67603104,52.09541820,71.77817850,
EU,Europe,BGR,Bulgaria,1993,All,Age_all,[All],5525.00000000,5.04381961,46.06005058,65.21251608,
EU,Europe,BGR,Bulgaria,1994,All,Age_all,[All],5266.00000000,4.71074454,43.49217664,62.36676299,
EU,Europe,BGR,Bulgaria,1995,All,Age_all,[All],5032.00000000,4.38824453,40.36525048,59.86129121,
EU,Europe,BGR,Bulgaria,1996,All,Age_all,[All],5057.00000000,4.32015446,41.29700911,60.47017745,
EU,Europe,BGR,Bulgaria,1997,All,Age_all,[All],5825.00000000,4.78003627,51.20004720,70.07940327,
EU,Europe,BGR,Bulgaria,1998,All,Age_all,[All],5500.00000000,4.65352399,50.15676993,66.61176243,
EU,Europe,BGR,Bulgaria,1999,All,Age_all,[All],5376.00000000,4.80918899,45.53519234,65.47633547,
EU,Europe,BGR,Bulgaria,2000,All,Age_all,[All],5678.00000000,4.93365888,46.65903357,69.49670093,
EU,Europe,BGR,Bulgaria,2001,All,Age_all,[All],5439.00000000,4.84034601,44.11566495,68.73237856,
EU,Europe,BGR,Bulgaria,2002,All,Age_all,[All],4827.00000000,4.28620901,39.83429641,61.34275439,
EU,Europe,BGR,Bulgaria,2003,All,Age_all,[All],5080.00000000,4.53867253,41.76796573,64.93210186,
EU,Europe,BGR,Bulgaria,2004,All,Age_all,[All],4724.00000000,4.29025520,38.03445313,60.71073456,
