Indicator Code: CG1110
"Indicator Name: Respiratory diseases"
Export date: 5/7/2024 5:14:26 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: J30-J98"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,AUT,Austria,1990,All,Age_all,[All],2499.00000000,3.01258559,17.50919404,32.54817429,
EU,Europe,AUT,Austria,1991,All,Age_all,[All],2346.00000000,2.81200556,16.51018079,30.25187588,
EU,Europe,AUT,Austria,1992,All,Age_all,[All],2267.00000000,2.72600467,15.61188700,28.91320160,
EU,Europe,AUT,Austria,1993,All,Age_all,[All],2437.00000000,2.95333083,16.76248605,30.82612497,
EU,Europe,AUT,Austria,1994,All,Age_all,[All],2128.00000000,2.63744980,14.41883839,26.81411743,
EU,Europe,AUT,Austria,1995,All,Age_all,[All],2333.00000000,2.87417920,15.63174844,29.35226976,
EU,Europe,AUT,Austria,1996,All,Age_all,[All],2199.00000000,2.72187152,14.51018533,27.62904359,
EU,Europe,AUT,Austria,1997,All,Age_all,[All],2204.00000000,2.77470037,14.41256815,27.66050024,
EU,Europe,AUT,Austria,1998,All,Age_all,[All],2203.00000000,2.81213699,14.29705510,27.61762910,
EU,Europe,AUT,Austria,1999,All,Age_all,[All],2468.00000000,3.15601023,15.75789221,30.87963287,
EU,Europe,AUT,Austria,2000,All,Age_all,[All],2598.00000000,3.38369367,16.21875258,32.42811705,
EU,Europe,AUT,Austria,2001,All,Age_all,[All],2605.00000000,3.48415745,15.92279405,32.39125956,
EU,Europe,AUT,Austria,2002,All,Age_all,[All],2953.00000000,3.87884042,17.67700422,36.53743863,
EU,Europe,AUT,Austria,2003,All,Age_all,[All],3483.00000000,4.51113212,20.65307991,42.90336150,
EU,Europe,AUT,Austria,2004,All,Age_all,[All],3030.00000000,4.07850105,17.73451061,37.08944100,
EU,Europe,AUT,Austria,2005,All,Age_all,[All],3088.00000000,4.10698373,17.56293783,37.54280402,
EU,Europe,AUT,Austria,2006,All,Age_all,[All],3001.00000000,4.03930278,16.64764963,36.29679335,
