Indicator Code: CG0810
"Indicator Name: Neuropsychiatric conditions"
Export date: 5/11/2024 11:05:29 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: F01-F99, G06-G98 (minus G14), U07.0, X41, X42, X44, X45"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,AUT,Austria,1990,All,Age_all,[All],1494.00000000,1.80104157,12.57869274,19.45857239,
EU,Europe,AUT,Austria,1991,All,Age_all,[All],1451.00000000,1.73922424,12.43391478,18.71077234,
EU,Europe,AUT,Austria,1992,All,Age_all,[All],1535.00000000,1.84579495,13.31687486,19.57731118,
EU,Europe,AUT,Austria,1993,All,Age_all,[All],1428.00000000,1.73055249,12.12960468,18.06307200,
EU,Europe,AUT,Austria,1994,All,Age_all,[All],1465.00000000,1.81572555,12.11072398,18.45990697,
EU,Europe,AUT,Austria,1995,All,Age_all,[All],1619.00000000,1.99455471,12.98809281,20.36919192,
EU,Europe,AUT,Austria,1996,All,Age_all,[All],1610.00000000,1.99282089,12.79543465,20.22863128,
EU,Europe,AUT,Austria,1997,All,Age_all,[All],1509.00000000,1.89973814,12.02410843,18.93815556,
EU,Europe,AUT,Austria,1998,All,Age_all,[All],1496.00000000,1.90964909,11.94668008,18.75441359,
EU,Europe,AUT,Austria,1999,All,Age_all,[All],1342.00000000,1.71611253,10.66648865,16.79111317,
EU,Europe,AUT,Austria,2000,All,Age_all,[All],1484.00000000,1.93279500,11.57729970,18.52322006,
EU,Europe,AUT,Austria,2001,All,Age_all,[All],1579.00000000,2.11189428,12.21524969,19.63370397,
EU,Europe,AUT,Austria,2002,All,Age_all,[All],2668.00000000,3.50448569,18.02792015,33.01113656,
EU,Europe,AUT,Austria,2003,All,Age_all,[All],2996.00000000,3.88037664,20.71188376,36.90452801,
EU,Europe,AUT,Austria,2004,All,Age_all,[All],2500.00000000,3.36509988,18.10611069,30.60184901,
EU,Europe,AUT,Austria,2005,All,Age_all,[All],2558.00000000,3.40209339,17.59204279,31.09925282,
EU,Europe,AUT,Austria,2006,All,Age_all,[All],2681.00000000,3.60858739,17.89480844,32.42642552,
EU,Europe,AUT,Austria,2007,All,Age_all,[All],2812.00000000,3.76817420,18.07734965,33.89916734,
EU,Europe,AUT,Austria,2008,All,Age_all,[All],3131.00000000,4.17005181,19.60024008,37.62524273,
EU,Europe,AUT,Austria,2009,All,Age_all,[All],3302.00000000,4.26719737,20.07839068,39.58528717,
EU,Europe,AUT,Austria,2010,All,Age_all,[All],3283.00000000,4.25264576,19.22072359,39.26531404,
EU,Europe,AUT,Austria,2011,All,Age_all,[All],3373.00000000,4.41036101,19.25307619,40.20964807,
EU,Europe,AUT,Austria,2012,All,Age_all,[All],3908.00000000,4.91968377,20.79159152,46.37853979,
EU,Europe,AUT,Austria,2013,All,Age_all,[All],4482.00000000,5.63589266,22.85786922,52.87104396,
EU,Europe,AUT,Austria,2014,All,Age_all,[All],4161.00000000,5.31743598,20.68646917,48.70123030,
EU,Europe,BEL,Belgium,1990,All,Age_all,[All],4269.00000000,4.09968309,23.30765436,42.82962458,
EU,Europe,BEL,Belgium,1991,All,Age_all,[All],4609.00000000,4.42539055,24.73823688,46.06926883,
EU,Europe,BEL,Belgium,1992,All,Age_all,[All],4968.00000000,4.76775432,26.31271601,49.45645682,
EU,Europe,BEL,Belgium,1993,All,Age_all,[All],5393.00000000,5.04849098,28.18958571,53.48182233,
EU,Europe,BEL,Belgium,1994,All,Age_all,[All],5016.00000000,4.83339436,25.89831561,49.58677686,
EU,Europe,BEL,Belgium,1995,All,Age_all,[All],5020.00000000,4.78564687,25.40214094,49.52253177,
EU,Europe,BEL,Belgium,1996,All,Age_all,[All],5105.00000000,4.89125228,25.38811435,50.26270014,
EU,Europe,BEL,Belgium,1997,All,Age_all,[All],5840.00000000,5.62620424,28.59015521,57.42251942,
EU,Europe,BEL,Belgium,1998,All,Age_all,[All],5885.00000000,5.63556969,28.74815324,57.67906876,
EU,Europe,BEL,Belgium,1999,All,Age_all,[All],6209.00000000,5.93532229,30.21761687,60.71529047,
EU,Europe,BEL,Belgium,2000,All,Age_all,[All],5868.00000000,5.59790126,28.34991671,57.24179978,
EU,Europe,BEL,Belgium,2001,All,Age_all,[All],6067.00000000,5.89074880,28.56958184,58.97981543,
EU,Europe,BEL,Belgium,2002,All,Age_all,[All],6399.00000000,6.07761568,29.97161825,61.92909269,
EU,Europe,BEL,Belgium,2003,All,Age_all,[All],7027.00000000,6.61620013,32.12666047,67.72272810,
EU,Europe,BEL,Belgium,2004,All,Age_all,[All],6480.00000000,6.39962076,29.27327219,62.18131775,
EU,Europe,BEL,Belgium,2005,All,Age_all,[All],6902.00000000,6.70526745,30.39006982,65.86747087,
EU,Europe,BEL,Belgium,2006,All,Age_all,[All],7308.00000000,7.30055344,30.74348117,69.28354576,
EU,Europe,BEL,Belgium,2007,All,Age_all,[All],7539.00000000,7.43608459,31.13244675,70.95061305,
EU,Europe,BEL,Belgium,2008,All,Age_all,[All],8391.00000000,8.08693138,33.20863890,78.34753645,
EU,Europe,BEL,Belgium,2009,All,Age_all,[All],8597.00000000,8.28099715,33.23655788,79.62770874,
EU,Europe,BEL,Belgium,2010,All,Age_all,[All],8554.00000000,8.13489044,32.03041723,78.91213069,
EU,Europe,BEL,Belgium,2011,All,Age_all,[All],8659.00000000,8.30265025,31.41578522,78.71361643,
EU,Europe,BEL,Belgium,2012,All,Age_all,[All],10180.00000000,9.33294217,35.59809256,91.75428239,
