Anthropogenic Forcing,Temperature Anomaly,CO2,CH4,Victims Without External Causes,Respiratory Diseases,Digestive Diseases,Mental and Behavioural Disorder,Nervous System Diseases
1.427,286.69397,354.03884,1716.6515,150763,172504,187794,96920,58167
0.297,285.52747,355.31304,1728.5241,153475,170654,190233,101494,59844
-0.691,286.37903,356.20606,1739.3915,151764,165663,191275,104047,60251
0.348,286.37012,356.90636,1742.5373,151486,167817,194803,108211,60441
1.048,286.59436,358.2265,1748.0293,150142,161193,196214,113597,62300
1.334,285.7511,360.19276,1754.6405,151629,167748,194797,122053,65268
1.416,285.75964,361.96542,1756.7156,152085,169168,193100,126415,68756
1.551,286.2143,363.22413,1760.9692,117241,158836,178111,126348,67578
1.426,286.26382,365.85683,1769.5966,126013,165289,181186,131550,71773
1.709,286.85245,367.79066,1777.5071,162890,185657,192000,143875,79849
1.908,287.03543,369.0864,1777.5371,153738,174324,190224,148934,84054
1.601,286.81055,370.63254,1776.1478,150292,163216,191924,155385,88900
1.718,287.11096,372.77275,1778.4187,148233,173917,194015,163029,94748
1.685,286.79196,375.33618,1783.0148,157337,187622,195433,179143,107896
1.913,286.293,376.94955,1783.7349,135744,166271,186809,163920,100464
1.492,287.193,378.85367,1782.9414,134303,184026,189934,178844,107382
1.365,286.27905,380.9547,1782.9786,128355,171405,188067,185096,110429
1.741,287.28656,382.55547,1788.3394,146238,187925,194033,193670,115947
1.776,287.09268,384.68468,1797.6928,148181,187352,197135,212043,122663
1.858,287.85883,386.2344,1801.5028,151189,194505,196034,223580,127707
1.813,286.99536,388.6401,1807.2444,162442,190617,195087,232121,131706
1.82,287.0279,390.88534,1812.456,164257,193991,185802,242948,137433
1.941,286.9868,392.9606,1814.7947,173104,203621,189239,269393,150049
2.196,287.53564,395.64638,1821.8595,175566,200534,185375,279718,150324
2.041,287.38538,397.49342,1830.7104,169884,197475,183310,284586,151868
2.296,286.97476,399.89702,1841.2393,177146,222711,183979,323080,166242
2.446,286.96756,403.03374,1850.8579,186918,214886,189951,330733,168563
2.478,287.22702,405.69995,1872.8451,203498,228096,192193,356233,181419
2.384,287.088,408.54642,1886.1743,216448,228324,195739,369401,184611
2.574,287.70755,411.42982,1898.526,252967,220887,194005,371505,185521
